X[s],"Trigno IM sensor 13: EMG 13 (IM)",X[s],"Trigno IM sensor 13: ACC X 13 (IM)",X[s],"Trigno IM sensor 13: ACC Y 13 (IM)",X[s],"Trigno IM sensor 13: ACC Z 13 (IM)",X[s],"Trigno IM sensor 13: Gyro X 13 (IM)",X[s],"Trigno IM sensor 13: Gyro Y 13 (IM)",X[s],"Trigno IM sensor 13: Gyro Z 13 (IM)",X[s],"Trigno IM sensor 13: Mag X 13 (IM)",X[s],"Trigno IM sensor 13: Mag Y 13 (IM)",X[s],"Trigno IM sensor 13: Mag Z 13 (IM)"
0.0612,6.277562E-05,0.459,0.9763184,0.459,0.2854004,0.459,-0.1533203,0.459,-0.961832,0.459,-0.1374046,0.459,-0.648855,0.918,-38.3,0.918,-72.8,0.918,-19.3
0.0621,5.572595E-05,0.46575,0.9780273,0.46575,0.2893066,0.46575,-0.1560059,0.46575,-1.328244,0.46575,0.1374046,0.46575,-0.610687,0.9315,-38.2,0.9315,-73.1,0.9315,-20.5
0.063,6.025788E-05,0.4725,0.9768066,0.4725,0.2773438,0.4725,-0.1437988,0.4725,-1.48855,0.4725,0.5572519,0.4725,-0.4580153,0.945,-38.1,0.945,-73.1,0.945,-19.7
0.0639,7.586786E-05,0.47925,0.9777832,0.47925,0.2702637,0.47925,-0.1472168,0.47925,-1.229008,0.47925,0.6183206,0.47925,-0.6335878,0.9585,-38.1,0.9585,-73,0.9585,-19.8
0.0648,8.69459E-05,0.486,0.9841309,0.486,0.2678223,0.486,-0.1394043,0.486,-0.9770992,0.486,0.9007633,0.486,-0.648855,0.972,-37.9,0.972,-73.1,0.972,-18.9
0.0657,9.433128E-05,0.49275,0.9802246,0.49275,0.2687988,0.49275,-0.1452637,0.49275,-0.8015267,0.49275,0.8091603,0.49275,-1.251908,0.9855,-38.5,0.9855,-72.9,0.9855,-19.6
0.0666,0.000100206,0.4995,0.9748535,0.4995,0.269043,0.4995,-0.1401367,0.4995,-0.221374,0.4995,1.10687,0.4995,-1.343511,0.999,-37.9,0.999,-73.6,0.999,-20.2
0.0675,0.0001000381,0.50625,0.9863281,0.50625,0.2790527,0.50625,-0.1435547,0.50625,0.1679389,0.50625,1.083969,0.50625,-1.656489,1.0125,-38.2,1.0125,-73.9,1.0125,-20.7
0.0684,9.617762E-05,0.513,0.9772949,0.513,0.2810059,0.513,-0.1381836,0.513,-0.03816794,0.513,1.114504,0.513,-2.114504,1.026,-37.9,1.026,-73.1,1.026,-20.2
0.0693,8.979935E-05,0.51975,0.9750977,0.51975,0.2797852,0.51975,-0.1367188,0.51975,0.08396947,0.51975,1.381679,0.51975,-2.29771,1.0395,-37.7,1.0395,-73.2,1.0395,-19.7
0.0702,8.039979E-05,0.5265,0.9753418,0.5265,0.2802734,0.5265,-0.1391602,0.5265,0.3206107,0.5265,1.343511,0.5265,-2.335878,1.053,-37.8,1.053,-73.4,1.053,-20.3
0.0711,6.411842E-05,0.53325,0.9816895,0.53325,0.2844238,0.53325,-0.1328125,0.53325,0.5267175,0.53325,1.267176,0.53325,-2.587786,1.0665,-37.9,1.0665,-73.3,1.0665,-20.6
0.072,5.673304E-05,0.54,0.9790039,0.54,0.28125,0.54,-0.1223145,0.54,1.099237,0.54,1.320611,0.54,-2.587786,1.08,-38.9,1.08,-72.8,1.08,-20.5
0.0729,4.716564E-05,0.54675,0.9741211,0.54675,0.2875977,0.54675,-0.1384277,0.54675,1.320611,0.54675,1.183206,0.54675,-2.946565,1.0935,-38.1,1.0935,-73.6,1.0935,-20.5
0.07380001,3.793393E-05,0.5535,0.980957,0.5535,0.286377,0.5535,-0.135498,0.5535,1.450382,0.5535,1.496183,0.5535,-2.862595,1.107,-37.8,1.107,-73.2,1.107,-19.7
0.07470001,2.299535E-05,0.56025,0.9765625,0.56025,0.2814941,0.56025,-0.1398926,0.56025,1.496183,0.56025,1.480916,0.56025,-2.946565,1.1205,-37.7,1.1205,-73.3,1.1205,-20.4
0.0756,6.210422E-06,0.567,0.9799805,0.567,0.2790527,0.567,-0.142334,0.567,1.847328,0.567,1.603053,0.567,-3.221374,1.134,-38.2,1.134,-73.7,1.134,-20
