X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)"
0.0873,0.0007987946,0.65475,-2,0.65475,-0.5205078,0.65475,0.5068359,0.65475,177.771,0.65475,43.09924,0.65475,227.8092,1.3095,-93.4,1.3095,-118.1,1.3095,10.6
0.0882,0.000708156,0.6615,-2,0.6615,-1.186523,0.6615,0.5883789,0.6615,158.3435,0.6615,42.35878,0.6615,205.6947,1.323,-94.6,1.323,-116.1,1.323,9.3
0.0891,0.0005876402,0.66825,-2,0.66825,-1.760742,0.66825,0.7844238,0.66825,200.2443,0.66825,45.01527,0.66825,204.6947,1.3365,-94.9,1.3365,-113.6,1.3365,11.1
0.09,0.0003986419,0.675,-2,0.675,-1.615479,0.675,1.111328,0.675,250.1298,0.675,27.57252,0.675,250.1298,1.35,-95.7,1.35,-110.4,1.35,11.3
0.0909,0.0002845045,0.68175,-2,0.68175,-0.998291,0.68175,1.191895,0.68175,250.1298,0.68175,16.69466,0.68175,250.1298,1.3635,-95.6,1.3635,-107.4,1.3635,12.6
0.0918,0.0002002441,0.6885,-2,0.6885,-0.3161621,0.6885,1.062256,0.6885,250.1298,0.6885,14.73282,0.6885,250.1298,1.377,-95.3,1.377,-106.2,1.377,14.6
0.0927,0.0001767452,0.69525,-2,0.69525,0.2080078,0.69525,0.7768555,0.69525,250.1298,0.69525,19.38168,0.69525,250.1298,1.3905,-95.2,1.3905,-104.5,1.3905,14.5
0.0936,0.0001566033,0.702,-2,0.702,0.3203125,0.702,0.7416992,0.702,250.1298,0.702,14.31298,0.702,250.1298,1.404,-94.8,1.404,-102.7,1.404,15.2
0.09450001,0.0001945373,0.70875,-2,0.70875,-0.1691895,0.70875,1.018311,0.70875,250.1298,0.70875,12.24428,0.70875,250.1298,1.4175,-93.9,1.4175,-101.7,1.4175,15
0.09540001,0.0003111925,0.7155,-2,0.7155,-0.2873535,0.7155,1.117188,0.7155,250.1298,0.7155,-0.6564885,0.7155,250.1298,1.431,-93.2,1.431,-101,1.431,16.3
